doc_id,negative_word_count,positive_word_count,vander_score,happ_score,Sentiment
109708.html,0.3651452282157676,0.6348547717842323,0.9992,4.2772726162861785,0.0
109712.html,0.35135135135135137,0.6486486486486487,0.9965,4.390383631713554,0.0
110968.html,0.43564356435643564,0.5643564356435643,1.0,4.23847982391783,0.0
110969.html,0.4207650273224044,0.5792349726775956,0.9999,4.222929763290648,0.0
110970.html,0.47368421052631576,0.5263157894736842,0.9981,4.1441514207862955,0.0
112118.html,0.3780487804878049,0.6219512195121951,-0.9615,4.323536825521861,2.0
1969235.html,0.38,0.62,-0.9417,4.569851775249908,2.0
320525.html,0.39344262295081966,0.6065573770491803,0.9899,4.328799019607841,0.0
366912.html,0.5,0.5,0.998,4.118057807543175,1.0
777395.html,0.40654205607476634,0.5934579439252337,-0.9994,4.206073855243716,2.0
96784.html,0.559322033898305,0.4406779661016949,0.9591,4.61516460025652,2.0
97876.html,0.42857142857142855,0.5714285714285714,-0.7954,4.0851079136690664,2.0
102225.html,0.41379310344827586,0.5862068965517241,-0.9758,4.473098522167487,0.0
103996.html,0.42857142857142855,0.5714285714285714,0.9536,4.547053601911921,2.0
104091.html,0.25806451612903225,0.7419354838709677,-0.9993,4.329768196569313,2.0
108507.html,0.36666666666666664,0.6333333333333333,-0.9859,4.276766169154229,2.0
112193.html,0.3793103448275862,0.6206896551724138,0.9987,4.115040770941433,2.0
198968.html,0.5,0.5,-0.9999,4.238170070197832,2.0
567584.html,0.3684210526315789,0.631578947368421,-0.9999,4.125005638794907,2.0
2434297.html,0.46825396825396826,0.5317460317460317,0.9997,4.0899534184823425,0.0
103956.html,0.41304347826086957,0.5869565217391305,0.9998,4.638200064745871,1.0
111944.html,0.4591194968553459,0.5408805031446541,0.9999,4.403632907955463,0.0
112331.html,0.47123893805309736,0.5287610619469026,1.0,4.409230038570027,0.0
112779.html,0.4676113360323887,0.5323886639676113,1.0,4.4125243554306826,1.0
142900.html,0.4020100502512563,0.5979899497487438,0.9995,4.015903304442037,1.0
145704.html,0.3785488958990536,0.6214511041009464,-0.9999,4.124218017705262,0.0
179184.html,0.4740740740740741,0.5259259259259259,0.9998,4.188434566537824,1.0
198905.html,0.4973544973544973,0.5026455026455027,0.9999,4.308617579755,1.0
747150.html,0.5862068965517241,0.41379310344827586,0.9989,4.031626707132019,0.0
2265177.html,0.4666666666666667,0.5333333333333333,1.0,4.060832498210449,1.0
107034.html,0.5531914893617021,0.44680851063829785,0.6115,4.416257786296118,0.0
109385.html,0.543859649122807,0.45614035087719296,0.9985,4.096581881533098,0.0
109760.html,0.4852941176470588,0.5147058823529411,0.9998,4.4915481291059685,2.0
110066.html,0.4323308270676692,0.5676691729323309,0.9999,4.54415047258978,2.0
1455046.html,0.575,0.425,0.9991,4.448721409823777,1.0
1981919.html,0.5454545454545454,0.45454545454545453,0.9673,4.223415162454879,1.0
2198512.html,0.5853658536585366,0.4146341463414634,1.0,4.543247122353273,1.0
2208376.html,0.6037735849056604,0.39622641509433965,0.9998,4.579155184097596,1.0
2443181.html,0.5217391304347826,0.4782608695652174,1.0,4.407918528252291,2.0
388756.html,0.47540983606557374,0.5245901639344263,0.9996,4.189906313645619,1.0
110461.html,0.396011396011396,0.603988603988604,-0.9996,4.509055145248669,0.0
1447641.html,0.4147727272727273,0.5852272727272727,1.0,4.643902744562115,0.0
85748.html,0.5272727272727272,0.4727272727272727,0.9963,4.748241301058999,0.0
86060.html,0.34782608695652173,0.6521739130434783,0.9083,4.650319148936173,0.0
87116.html,0.42036553524804177,0.5796344647519582,1.0,4.786129797129043,2.0
88493.html,0.32142857142857145,0.6785714285714286,-0.9999,4.815601650240659,2.0
90897.html,0.42810457516339867,0.5718954248366013,1.0,4.742577532405185,0.0
94602.html,0.36666666666666664,0.6333333333333333,0.7425,4.56738238141336,0.0
96244.html,0.4264705882352941,0.5735294117647058,0.9968,4.532254934760786,0.0
96499.html,0.4090909090909091,0.5909090909090909,1.0,4.5713870967742,0.0
91138.html,0.43333333333333335,0.5666666666666667,0.9939,4.547467438494936,1.0
105543.html,0.47101449275362317,0.5289855072463768,1.0,4.484146076146063,0.0
107049.html,0.43103448275862066,0.5689655172413793,0.9945,4.34155384075763,1.0
111671.html,0.4948453608247423,0.5051546391752577,0.9997,4.215017659524366,0.0
200813.html,0.5,0.5,1.0,4.1201003099005105,0.0
228222.html,0.5384615384615384,0.46153846153846156,0.9991,4.306704707560623,1.0
499046.html,0.3968253968253968,0.6031746031746031,0.9932,4.000136014192787,0.0
1882377.html,0.5681818181818182,0.4318181818181818,0.9986,4.7281972171808775,1.0
2248781.html,0.5102040816326531,0.4897959183673469,0.9992,4.347816449543076,1.0
2764117.html,0.40930232558139534,0.5906976744186047,1.0,4.24912337933919,0.0
105172.html,0.49645390070921985,0.5035460992907801,0.9996,4.329428304904047,2.0
118303.html,0.43783783783783786,0.5621621621621622,0.9998,4.128829171956557,0.0
